segment	vocalic	consonantal	high	back	low	anterior	coronal	round	tense	voice	continuant	nasal	strident
ɨ	1	0	1	1	0	0	0	0	1				
ī	1	0	1	0	0	0	0	0	1				
ū	1	0	1	1	0	0	0	1	1				
ē	1	0	0	0	0	0	0	0	1				
ō	1	0	0	1	0	0	0	1	1				
ä	1	0	0	0	1	0	0	0	1				
ā	1	0	0	1	1	0	0	0	1				
œ	1	0	0	0	1	0	0	1	1				
O	1	0	0	1	1	0	0	1	1				
i	1	0	1	0	0	0	0	0	0				
u	1	0	1	1	0	0	0	1	0				
e	1	0	0	0	0	0	0	0	0				
ʌ	1	0	0	1	0	0	0	0	0				
o	1	0	0	1	0	0	0	1	0				
æ	1	0	0	0	1	0	0	0	0				
ɔ	1	0	0	1	1	0	0	1	0				
y	0	0	1	0	0	0	0	0	0				
w	0	0	1	1	0	0	0	1	0				
ɛ	0	0	0	0	0	0	0	0	0				
r	1	1	0	0	0	1	1			1	1	0	0
l	1	1	0	0	0	1	1			1	1	0	0
p	0	1	0	0	0	1	0			0	0	0	0
b	0	1	0	0	0	1	0			1	0	0	0
f	0	1	0	0	0	1	0			0	1	0	1
v	0	1	0	0	0	1	0			1	1	0	1
m	0	1	0	0	0	1	0			1	0	1	0
t	0	1	0	0	0	1	1			0	0	0	0
d	0	1	0	0	0	1	1			1	0	0	0
θ	0	1	0	0	0	1	1			0	1	0	0
ð	0	1	0	0	0	1	1			0	1	0	0
n	0	1	0	0	0	1	1			1	1	0	0
s	0	1	0	0	0	1	1			1	0	1	0
z	0	1	0	0	0	1	1			1	1	0	1
c	0	1	0	0	0	1	1			0	0	0	1
č	0	1	1	0	0	0	1			0	0	0	1
ʝ	0	1	1	0	0	0	1			1	0	0	1
š	0	1	1	0	0	0	1			0	1	0	1
ž	0	1	1	0	0	0	1			1	1	0	1
k	0	1	1	1	0	0	0	0		0	0	0	0
g	0	1	1	1	0	0	0	0		1	0	0	0
x	0	1	1	1	0	0	0	0		0	1	0	0
ŋ	0	1	1	1	0	0	0			1	0	1	0
h	0	0	0	0	1	0	0			0	1	0	0