string	gcm
bejz	0.11051846526720202
bötőrz	0.10007425233707738
brálaml	0.10904541195782583
braṉl	0.11495095879063245
brárl	0.11481447701904472
bratárz	0.0980101938466479
bregz	0.1071264303795847
brešl	0.11367922168454433
bribašl	0.1073137332729509
bribéks	0.10544463496159166
brilegz	0.10285989363827348
brivágl	0.1081914090017842
brivakl	0.10914279226760823
briveps	0.10575532451811136
brözl	0.11177176120265012
brűkl	0.11295652066016779
brülöšl	0.10481986998897674
brürz	0.10456365788332275
brüsl	0.11357311001486131
bügz	0.10959284924941727
čibagz	0.1044357783937884
čubz	0.10948355658360609
dabz	0.1093306043002388
dáraks	0.11163255033810236
dibágl	0.11326275912857774
dilakl	0.11341762403393035
diráṉl	0.11372281341134867
dirl	0.11819461239409114
döjl	0.11822099131964348
dralágz	0.10243907884356908
drilarz	0.10250408510981283
drivegz	0.1012500246641088
drojz	0.10596600792208308
drűrz	0.10486035901821368
dujz	0.10990408295130888
filáṉl	0.11385449894840248
flátl	0.11621660372033181
fleml	0.11802269647551089
fleréks	0.10944791018267133
flézl	0.11526061741818945
flivegz	0.10213234257080114
flodl	0.11425971343119128
flökl	0.1145232723848529
flubokl	0.109079592664486
flugoṉl	0.10829647402788065
flűgz	0.10703706697167657
flürökl	0.10934935354814107
föks	0.11641031580365328
frakl	0.11569555880964304
frálaps	0.10903151496593655
frálašl	0.10861093121438743
frélegz	0.10365742219738497
fréšl	0.11413092239088085
frihegl	0.11187452390555734
friṉl	0.11510783233801272
frirz	0.10580009230178726
frivaml	0.11042336596120893
fröjl	0.1147416983224444
fröjz	0.10565158610217636
frorl	0.11638576553853446
galárz	0.10340204124914902
gatágl	0.11237804136184099
géregl	0.11434898840972188
gibeml	0.11335146205977585
gihaml	0.11387892332488977
gihejl	0.11367602632376053
ḏihegz	0.10605781160835596
ḏiveps	0.11070031789012921
háks	0.1174581079063175
hiragz	0.10701565939706525
huboṉl	0.11289408138686295
játl	0.11813728811108172
jurl	0.11805702074925833
klárags	0.10786096643123304
klarágz	0.09992342290810947
klégl	0.11471490579051882
klehéṉl	0.10795314179123648
klihašl	0.10789473671647135
klűml	0.11341062620231282
kluzl	0.11277999723565937
kösl	0.11623847974828755
kűdl	0.11466009982898574
küšl	0.11594691648159261
lájz	0.11072670097495405
lírl	0.11878619273276116
livéṉl	0.11226725788461343
lűkl	0.11818514970502322
luml	0.11984047784350534
mágaml	0.11214822261594841
metégs	0.11137640933356587
mihágz	0.10489467017270278
míjz	0.10941722198790195
míšl	0.11702631129505062
mols	0.1155358910726508
mülőrz	0.10165618911060931
nágaps	0.10916787375053487
nivárz	0.10293330134608306
nurokl	0.11258897386491393
ṉádl	0.1186037503989747
ṉivágz	0.1043639248619358
ṉizl	0.11644437551846647
ṉöbz	0.10882783701150853
ṉülökl	0.11167813283156479
ṉürz	0.10956521621664297
pehégs	0.11233545536052399
peks	0.1173848518387003
pibegz	0.10515251035261085
pilégs	0.11219603486160079
plibz	0.10450580793918259
pörz	0.10908541281890644
pošl	0.11825114007491543
pragáṉl	0.10847405898468239
prazl	0.1141176377324101
préleml	0.10963012122096917
prihegs	0.10859639267276672
prileps	0.10877551815875228
privéks	0.10639627848771072
prögz	0.10559087203043852
prugorz	0.09918171836712962
püzl	0.11692771914695706
ribegs	0.11162706424384662
riváṉl	0.11167495663730771
špalárz	0.10201857264834101
špibaml	0.10967397205746623
špibegl	0.11047956218591751
špiharz	0.10147639200770336
špirágl	0.11065173031506345
špivejl	0.10941755031208
špökl	0.11249707147735043
špoṉl	0.11503155925165638
šprebz	0.10358191444615791
šprigz	0.1029493777597301
špriml	0.11164270342897545
šprozl	0.10823613370068776
šprudl	0.1099523356447605
šprűrl	0.11094660499330347
špuborz	0.0985134120806036
špügz	0.1056381899447257
šűjl	0.11854607591211698
strajl	0.1129629731137842
stredl	0.11027229461265278
stritl	0.11028785249820774
tágarz	0.10200138530395156
tibarz	0.10269841063956514
tögl	0.11741110348005177
trálakl	0.10931682110121578
tráls	0.11346401537393312
tribejl	0.10864728713772805
trlik	0.1065693217632298
trileks	0.11015058923618794
trírz	0.10468394704064918
trivaks	0.10695953475763244
trugokl	0.107973695981185
trugz	0.10609913978877196
truks	0.11180232785570118
trűṉl	0.11330169446600682
tűgz	0.10887777890018838
vehéks	0.11191541801331498
vihaps	0.11114748224332134
vilešl	0.11266394139036959
virz	0.10982370940810508
vobz	0.10995070777722205
bidem	0.4918459259147497
bingéj	0.4944418926755592
brágéd	0.4938433299566978
bralkép	0.49404333488613766
brasenc	0.49296892220320365
brigest	0.49182595058760037
brindez	0.492157271337991
briškéd	0.49419504444861384
bródes	0.49230240878016457
broteš	0.4910147035029203
brukés	0.4943475461196078
buhéṉ	0.49451960742804796
bupéz	0.4942488694947173
čáḏelt	0.49145362756326305
čartéṉ	0.4948825522700863
čimen	0.49198907296338606
činték	0.4942572691416374
čodeg	0.4914137117030392
čubléṉ	0.494139675286318
dábeḏ	0.4917877635214109
dajrenš	0.49332162258492634
dalenc	0.49281894906644275
danét	0.49511190539942584
darhén	0.49521401485045
dibez	0.49229057080257205
dihej	0.4925233135389477
dinelt	0.49142374116070203
dingec	0.4921493844431211
dóbem	0.49187143337931977
dorzéj	0.4941644662961237
dunkés	0.4947792203707041
dutec	0.4918463188114568
fádenš	0.49219598091350386
fáḏép	0.49397596538272665
fájéz	0.4948393705271144
fincek	0.49237296630849176
fizend	0.49245531980563856
fojleḏ	0.4918546091998222
forzéd	0.49408860473583666
fupét	0.4940632256853105
gábéd	0.4940072815841397
garcép	0.4946779218627311
gicéj	0.49474334340793236
gihest	0.4920638051881896
gonsék	0.49416622555611506
gótem	0.491601631245095
gúden	0.49196891729169673
háḏét	0.4939740827937109
hijeḏ	0.49261272583853544
hivép	0.4939674226525957
hóbenš	0.4923324166457997
hošét	0.4940296816811385
humék	0.49466953149697096
iksert	0.49179157475490703
incéj	0.49480638807530797
ítenš	0.4918457876928771
jábéz	0.49451725273671876
jalréṉ	0.4951586729758058
jóbec	0.49251750738971034
jorzég	0.49421087992351254
júder	0.4923814844041133
jukél	0.49468888268068806
jurdent	0.49198155463185667
jutéj	0.49491395288086065
kábes	0.49190783983161435
kadér	0.4953261470729657
kalhés	0.49527679734697183
kalréz	0.49510781146611904
kasép	0.49507019243058303
kátéd	0.4941637521301627
kátel	0.49111985029461946
klajrén	0.4949619523799894
klazér	0.49510781146611904
klinges	0.49210634763443384
kliser	0.4919222445529122
klíteḏ	0.49168593022682333
klordéṉ	0.49340382231595514
klošét	0.4938175270615068
kluhéj	0.49456125473828794
liceḏ	0.4921369747978195
lihéṉ	0.4943572919381021
lijez	0.4924447630171586
lingék	0.4941924863606443
lišmév	0.4940877059107278
lorzenš	0.4914918747265626
luméz	0.49451443418490354
mádép	0.49363862551582116
matéz	0.4952589107751454
monveg	0.49095238832957583
murdeš	0.49250580676880595
narem	0.4926940493816222
navec	0.49276982353142856
nidét	0.49425940593555184
nuhét	0.4945525926569069
ṉábét	0.49384357432179676
ṉamet	0.4924005852121949
ṉarcéj	0.4953801931038924
ṉítem	0.4916559791574149
ṉupér	0.49406535255786643
pazév	0.4948950358853141
pijél	0.4941536773368383
pišéj	0.4945231370479894
pítend	0.49116220064234833
pivéd	0.49379863992660555
pratej	0.49201535118897477
prištél	0.4935291674844629
prisec	0.49180961979344257
priskenc	0.4918347899153118
rapsek	0.49234403517695496
ronsek	0.4911450214335858
ronvet	0.49032015277801355
šartej	0.49313290154430706
šihen	0.4923641896065068
šortem	0.4909658536063427
špábét	0.49353572288880637
španél	0.49489494654632665
špatel	0.491996575912751
špáten	0.49113743689647565
špicet	0.49172839336935376
špivél	0.4938630629083396
špizec	0.49239166768748704
šporzem	0.49128840331659124
šprivenc	0.49187185417562573
šprízem	0.49211805969109806
špuméṉ	0.4942711305595615
šurneḏ	0.4924541354844259
sanéj	0.49597135581402874
sibed	0.49228878362135453
sihét	0.4945030786947731
sutend	0.49193313654724913
tarhéz	0.49513232256737383
tivenc	0.49157374501095574
tošéj	0.49424165280889126
trájeg	0.4917077992043205
tranék	0.4949405162113265
tránéj	0.49415683769217056
trapseḏ	0.49193217547326135
trigenc	0.49174546014647214
trikép	0.4935304024526825
trinčeg	0.4917995800306097
trišmél	0.49390311508949564
trodéj	0.49369089510515796
tuméj	0.494621019179337
višmer	0.4922010479182332
vodec	0.4911876829760349
vodép	0.49328782795298876
vorsen	0.4910474254173589
vublet	0.4913201474962449
vurnel	0.4915691321330019
zábéṉ	0.4942500293297416
zarcég	0.4953712699399691
zatéj	0.49562595845971485
zihenc	0.49250710421651644
zined	0.4922106115701827
zopéj	0.49403691465785365
žáder	0.49160223615211873
žádév	0.4938920226681258
žalrén	0.494958702104426
žigén	0.4944395108745864
žopéd	0.49342673372754486
žúdel	0.4918584329544097
zuten	0.49190449841476147
agl	0.52395537447032825
biháṉl	0.5135733835840653
bivégs	0.4993059292118774
bivejl	0.5268553356906568
böjz	0.5288759390998197
böls	0.5236121147915476
brágakl	0.47790361892345057
brarl	0.5095815551948633
brivegz	0.5091405595192471
brobódz	0.5114034207653164
brubz	0.5073727517193001
brüjl	0.5181903658057673
bügl	0.5236584639233591
bűts	0.5059161017719864
čísl	0.5345363608283284
čólorz	0.5223305069545725
driládz	0.5193861673944687
drubódz	0.5120523899040166
drügz	0.5019596178607079
düjz	0.5254777711853135
féjz	0.5235635397605148
feml	0.5370037883517772
fetéṉl	0.5141516032682442
fibaml	0.5106801159455271
figl	0.5241839814537067
filágz	0.5033189745823148
fivéṉl	0.5181778899092446
flagáṉl	0.49912362468926436
flagárz	0.5040531402054517
fláts	0.4857007031909238
flehéks	0.4916233462745877
flehéṉl	0.5197739530997663
flérl	0.5143508690097369
flibeks	0.4878748105745106
fligz	0.5049951102239779
flirakl	0.48803125512088963
flitl	0.5125665212566964
flogl	0.503610062920662
flözl	0.515092168447098
flűml	0.5138433217188241
flűrökl	0.4958243553894943
flüröšl	0.5133171365968118
frágaps	0.48063267129789194
frets	0.502618213463823
frilegs	0.4970972887599014
frisl	0.5183087866136806
frivajl	0.509964942304904
frodl	0.5126615624431639
geréṉl	0.5230969629155863
gilárz	0.51989404185674
ḏibaks	0.4783183146213412
ḏibešl	0.5270143238860483
ḏivádz	0.5156973087799384
herégs	0.5042487111889469
hilarz	0.5165377214582878
hűgz	0.5131371711764412
hukl	0.514419470131163
hurjorz	0.5186044955588024
hurošl	0.5231760551646787
ibágl	0.5016037534324786
ibéks	0.4845376050727472
joṉl	0.5181542044557457
jüšl	0.5300966879331952
jusl	0.5249078784997677
klarágl	0.506741917165887
klárz	0.5142103800124924
kléts	0.5010631845101372
klibaml	0.5146044751587898
klidl	0.5267678352352979
klivašl	0.5197249892080423
klörl	0.5272615958595874
kuml	0.5344605211075633
lihadz	0.5089607109088634
livakl	0.48843006375698034
lorjódz	0.515956171804814
lörűdz	0.5154271075423817
málaps	0.48637521520640237
marz	0.5265640830903724
méks	0.4902873490881577
narádz	0.512978453367341
narjárz	0.5159244365681626
nűrökl	0.49844802370146674
ṉášl	0.5237820351881474
pebz	0.5353213003667732
pélešl	0.5308604921037944
píjl	0.5371660472868875
pirags	0.49139563668126396
píts	0.5117851142956641
pivegs	0.50742172253343
plágadz	0.49888375616041464
plövőrz	0.5162010322210949
plűbz	0.5120108788861883
plugz	0.5039419609060045
prašl	0.5117098810034177
pratáṉl	0.497723502206009
prélegl	0.5108172619632879
prezl	0.5234757889077387
pribags	0.49187547306365087
pribeml	0.519457676656867
priheks	0.4924255668118829
prilegz	0.511076323931952
príṉl	0.5154315804212432
prohódz	0.5181891897865875
prűrl	0.5204638525652122
pugošl	0.5231356336984977
rájz	0.5087207799491372
ribegz	0.5118715536124292
ribz	0.5194631753932226
roks	0.4854180056425161
rušl	0.5236397780809972
šalárz	0.5153770173298449
šiladz	0.5099934160144777
šojz	0.5202877318657864
špárakl	0.4888235030087276
špatárz	0.5004978106959501
špats	0.4951852802561841
špéls	0.5153605071493322
špéšl	0.5215767809930678
špibádz	0.5180540616421
špibakl	0.49248109487631947
špihegz	0.5149698984858606
špiheml	0.521013141483719
špilágz	0.5066446350842826
špírz	0.5236120041695601
špráls	0.5066103543616888
šprédl	0.5172807021970729
špröbz	0.5127330823236056
šprogz	0.5066834606073308
špröks	0.4881392017409531
špuboṉl	0.5150914705375261
špüjz	0.5220939484359218
špülökl	0.5048488094713331
špülőrz	0.5172911034271435
špülűdz	0.5198733273588299
špűml	0.519279983849863
špüsl	0.5220781819750852
šűzl	0.5236225241476572
sibáṉl	0.5140833027216092
sirl	0.5343400229467817
streml	0.5154857367315735
strijz	0.5171884421946574
strozl	0.5095768129089442
strugl	0.5027934349245731
strűks	0.4823018637432908
sűšl	0.5276090301524904
tákl	0.5009407227696983
tíṉl	0.5249032909289231
tiregz	0.5135318394938235
toml	0.5249323532652646
trádl	0.5086938572749468
tragz	0.4925875853189751
tregl	0.5116244552194866
trehégs	0.5067649180937125
trihagz	0.5009400207390504
trils	0.5141006209612182
tubokl	0.5019661920788268
vaṉl	0.518786294967334
viheps	0.5029802213042737
vilaks	0.4735756656951018
vűjl	0.5277027683991411
vülődz	0.5161258261300147
zödl	0.5219103946667305
