base	resp1	resp2	log_odds	tof_score
aglik	12	15	-0.2076393647782445	0.6691644750113384
bihánylik	21	5	1.2992829841302609	0.6691644750113384
bivejlik	18	8	0.7472144018302211	0.6691644750113384
bivégszik	7	22	-1.0560526742493137	0.33417970300263633
brarlik	21	6	1.1451323043030026	0.6691644750113384
brivegzik	8	21	-0.8938178760220964	0.50481513875875506
brobódzik	9	18	-0.6418538861723948	0.6112043003538655
brubzik	16	11	0.3483066942682158	0.50481513875875506
brágaklik	12	17	-0.325422400434628	0.6691644750113384
brüjlik	18	8	0.7472144018302211	0.6691644750113384
böjzik	14	12	0.14310084364067324	0.50481513875875506
bölszik	16	11	0.3483066942682158	0.45312410514513
büglik	19	7	0.9162907318741552	0.6691644750113384
bűtszik	14	12	0.14310084364067324	0.33962336576908697
csíszlik	20	9	0.7419373447293773	0.6691644750113384
csólorzik	10	19	-0.5978370007556204	0.50481513875875506
driládzik	10	19	-0.5978370007556204	0.6112043003538655
drubódzik	10	16	-0.4353180712578455	0.6112043003538655
drügzik	14	13	0.06899287148695142	0.50481513875875506
düjzik	13	13	0	0.50481513875875506
femlik	25	4	1.6486586255873816	0.6691644750113384
feténylik	23	4	1.5686159179138452	0.6691644750113384
fibamlik	26	3	1.9095425048844383	0.6691644750113384
figlik	20	9	0.7419373447293773	0.6691644750113384
filágzik	7	20	-0.9650808960435872	0.50481513875875506
fivénylik	20	9	0.7419373447293773	0.6691644750113384
flagánylik	22	7	1.0560526742493137	0.6691644750113384
flagárzik	12	15	-0.2076393647782445	0.50481513875875506
flehékszik	10	19	-0.5978370007556204	0.37409297471948166
flehénylik	23	4	1.5686159179138452	0.6691644750113384
flibekszik	11	18	-0.4595323293784402	0.3486552442590644
fligzik	10	19	-0.5978370007556204	0.50481513875875506
fliraklik	13	13	0	0.6691644750113384
flitlik	25	4	1.6486586255873816	0.6691644750113384
floglik	18	11	0.4595323293784402	0.6691644750113384
flátszik	11	18	-0.4595323293784402	0.33962336576908697
flérlik	23	4	1.5686159179138452	0.6691644750113384
flözlik	20	7	0.965080896043587	0.6691644750113384
flüröslik	20	9	0.7419373447293773	0.6691644750113384
flűmlik	24	5	1.4271163556401458	0.6691644750113384
flűröklik	17	12	0.32542240043462795	0.6691644750113384
fretszik	13	13	0	0.33962336576908697
frilegszik	11	15	-0.2876820724517809	0.33417970300263633
friszlik	15	14	0.06453852113757116	0.6691644750113384
frivajlik	21	5	1.2992829841302609	0.6691644750113384
frodlik	20	9	0.7419373447293773	0.6691644750113384
frágapszik	11	16	-0.3483066942682157	0.45312410514513
féjzik	16	10	0.4353180712578455	0.50481513875875506
gerénylik	23	3	1.791759469228055	0.6691644750113384
gilárzik	8	21	-0.8938178760220964	0.50481513875875506
gyibakszik	9	17	-0.587786664902119	0.37409297471948166
gyibeslik	18	9	0.6418538861723947	0.6691644750113384
gyivádzik	9	18	-0.6418538861723948	0.6112043003538655
herégszik	9	18	-0.6418538861723948	0.33417970300263633
hilarzik	14	13	0.06899287148695142	0.50481513875875506
huklik	13	14	-0.06899287148695143	0.6691644750113384
hurjorzik	14	13	0.06899287148695142	0.50481513875875506
huroslik	22	7	1.0560526742493137	0.6691644750113384
hűgzik	13	13	0	0.50481513875875506
ibáglik	18	9	0.6418538861723947	0.6691644750113384
ibékszik	10	16	-0.4353180712578455	0.37409297471948166
jonylik	21	8	0.8938178760220965	0.6691644750113384
juszlik	18	11	0.4595323293784402	0.6691644750113384
jüslik	20	7	0.965080896043587	0.6691644750113384
klaráglik	20	7	0.965080896043587	0.6691644750113384
klibamlik	16	10	0.4353180712578455	0.6691644750113384
klidlik	21	8	0.8938178760220965	0.6691644750113384
klivaslik	19	7	0.9162907318741552	0.6691644750113384
klárzik	13	13	0	0.50481513875875506
klétszik	11	15	-0.2876820724517809	0.33962336576908697
klörlik	18	9	0.6418538861723947	0.6691644750113384
kumlik	25	4	1.6486586255873816	0.6691644750113384
lihadzik	16	13	0.1941560144409574	0.6112043003538655
livaklik	7	20	-0.9650808960435872	0.6691644750113384
lorjódzik	13	16	-0.1941560144409575	0.6112043003538655
lörűdzik	12	15	-0.2076393647782445	0.6112043003538655
marzik	19	8	0.7985076962177716	0.50481513875875506
málapszik	13	14	-0.06899287148695143	0.45312410514513
mékszik	12	14	-0.1431008436406733	0.37409297471948166
narjárzik	13	13	0	0.50481513875875506
narádzik	9	18	-0.6418538861723948	0.6112043003538655
nyáslik	17	9	0.5877866649021191	0.6691644750113384
nűröklik	13	16	-0.1941560144409575	0.6691644750113384
pebzik	17	10	0.49247648509779424	0.50481513875875506
piragszik	9	17	-0.587786664902119	0.33417970300263633
pivegszik	8	21	-0.8938178760220964	0.33417970300263633
plugzik	12	17	-0.325422400434628	0.50481513875875506
plágadzik	10	16	-0.4353180712578455	0.6112043003538655
plövőrzik	14	13	0.06899287148695142	0.50481513875875506
plűbzik	17	10	0.49247648509779424	0.50481513875875506
praslik	24	5	1.4271163556401458	0.6691644750113384
pratánylik	23	6	1.2321436812926323	0.6691644750113384
prezlik	19	7	0.9162907318741552	0.6691644750113384
pribagszik	9	17	-0.587786664902119	0.33417970300263633
pribemlik	26	3	1.9095425048844383	0.6691644750113384
prihekszik	13	16	-0.1941560144409575	0.3486552442590644
prilegzik	11	16	-0.3483066942682157	0.50481513875875506
prohódzik	7	22	-1.0560526742493137	0.6112043003538655
préleglik	18	9	0.6418538861723947	0.6691644750113384
prínylik	17	9	0.5877866649021191	0.6691644750113384
prűrlik	19	7	0.9162907318741552	0.6691644750113384
pugoslik	20	7	0.965080896043587	0.6691644750113384
péleslik	20	9	0.7419373447293773	0.6691644750113384
píjlik	18	9	0.6418538861723947	0.6691644750113384
pítszik	10	17	-0.49247648509779407	0.33962336576908697
ribegzik	13	16	-0.1941560144409575	0.50481513875875506
ribzik	10	19	-0.5978370007556204	0.50481513875875506
rokszik	11	16	-0.3483066942682157	0.37409297471948166
ruslik	21	8	0.8938178760220965	0.6691644750113384
rájzik	13	13	0	0.50481513875875506
salárzik	15	12	0.20763936477824457	0.50481513875875506
siladzik	10	16	-0.4353180712578455	0.6112043003538655
sojzik	11	18	-0.4595323293784402	0.50481513875875506
spatszik	11	16	-0.3483066942682157	0.33962336576908697
spatárzik	14	15	-0.06453852113757118	0.50481513875875506
spibaklik	14	13	0.06899287148695142	0.6691644750113384
spibádzik	12	15	-0.2076393647782445	0.6112043003538655
spihegzik	14	15	-0.06453852113757118	0.50481513875875506
spihemlik	25	2	2.159484249353372	0.6691644750113384
spilágzik	7	20	-0.9650808960435872	0.50481513875875506
sprogzik	9	20	-0.7419373447293773	0.50481513875875506
sprálszik	11	15	-0.2876820724517809	0.45312410514513
sprédlik	25	2	2.159484249353372	0.6691644750113384
spröbzik	15	11	0.28768207245178085	0.50481513875875506
sprökszik	11	15	-0.2876820724517809	0.37409297471948166
spubonylik	23	6	1.2321436812926323	0.6691644750113384
spáraklik	18	11	0.4595323293784402	0.6691644750113384
spélszik	16	11	0.3483066942682158	0.45312410514513
spéslik	21	6	1.1451323043030026	0.6691644750113384
spírzik	13	13	0	0.50481513875875506
spüjzik	21	8	0.8938178760220965	0.50481513875875506
spülöklik	15	11	0.28768207245178085	0.6691644750113384
spülőrzik	17	9	0.5877866649021191	0.50481513875875506
spülűdzik	13	16	-0.1941560144409575	0.6112043003538655
spüszlik	14	12	0.14310084364067324	0.6691644750113384
spűmlik	23	4	1.5686159179138452	0.6691644750113384
szibánylik	19	8	0.7985076962177716	0.6691644750113384
szirlik	20	9	0.7419373447293773	0.6691644750113384
sztremlik	22	5	1.3437347467010947	0.6691644750113384
sztrijzik	14	12	0.14310084364067324	0.50481513875875506
sztrozlik	16	10	0.4353180712578455	0.6691644750113384
sztruglik	16	10	0.4353180712578455	0.6691644750113384
sztrűkszik	11	15	-0.2876820724517809	0.37409297471948166
szűslik	21	8	0.8938178760220965	0.6691644750113384
sűzlik	14	12	0.14310084364067324	0.6691644750113384
tiregzik	15	14	0.06453852113757116	0.50481513875875506
tomlik	27	2	2.2335922215070942	0.6691644750113384
tragzik	13	14	-0.06899287148695143	0.50481513875875506
treglik	18	8	0.7472144018302211	0.6691644750113384
trehégszik	8	18	-0.7472144018302211	0.33417970300263633
trihagzik	9	18	-0.6418538861723948	0.50481513875875506
trilszik	15	11	0.28768207245178085	0.45312410514513
trádlik	16	10	0.4353180712578455	0.6691644750113384
tuboklik	16	10	0.4353180712578455	0.6691644750113384
táklik	11	15	-0.2876820724517809	0.6691644750113384
tínylik	16	10	0.4353180712578455	0.6691644750113384
vanylik	21	6	1.1451323043030026	0.6691644750113384
vihepszik	8	18	-0.7472144018302211	0.45312410514513
vilakszik	8	19	-0.7985076962177716	0.37409297471948166
vülődzik	14	13	0.06899287148695142	0.6112043003538655
vűjlik	20	6	1.0986122886681098	0.6691644750113384
zödlik	18	8	0.7472144018302211	0.6691644750113384
